,MZ,date,1_week_ago,2_week_ago,3_week_ago,4_week_ago,5_week_ago,6_week_ago,7_week_ago,8_week_ago
0,01,2022-12-25,0,10,10,10,12,12,18,18
1,02,2022-12-25,1,11,12,12,12,12,18,18
2,02-1,2022-12-25,2,6,7,7,7,8,10,10
3,03,2022-12-25,0,11,11,11,13,13,18,18
4,03-1,2022-12-25,1,11,12,12,12,12,18,18
5,04,2022-12-25,5,10,11,11,11,14,19,19
6,05,2022-12-25,1,8,9,9,10,10,13,13
7,06,2022-12-25,6,6,6,6,7,11,15,15
8,07,2022-12-25,5,5,5,5,6,12,16,16
9,08,2022-12-25,4,9,9,9,10,15,21,21
10,09,2022-12-25,2,2,2,2,3,5,5,5
11,09-1,2022-12-25,1,9,9,9,9,11,15,15
12,10,2022-12-25,2,2,2,2,3,5,6,8
13,11,2022-12-25,1,1,1,1,2,6,8,10
14,12,2022-12-25,6,6,6,6,8,15,21,23
15,13,2022-12-25,0,0,0,0,0,5,8,10
16,14,2022-12-25,0,0,0,0,0,0,2,2
17,15,2022-12-25,0,0,0,0,0,1,1,1
18,16,2022-12-25,0,0,0,0,0,1,3,3
19,17,2022-12-25,1,2,2,2,3,4,4,4
20,18,2022-12-25,0,0,0,0,0,2,4,6
21,19,2022-12-25,0,0,0,0,0,3,4,4
22,20,2022-12-25,0,0,0,0,0,0,2,3
23,21,2022-12-25,0,0,0,0,0,1,4,4
24,22,2022-12-25,0,1,1,1,1,1,4,4
25,23,2022-12-25,0,1,1,1,1,1,4,8
26,24,2022-12-25,0,1,1,1,1,2,3,3
27,25,2022-12-25,0,0,1,1,1,3,4,5
28,26,2022-12-25,0,0,0,0,0,0,0,2
29,27,2022-12-25,0,0,0,0,0,0,3,7
30,28,2022-12-25,0,1,1,1,1,1,2,6
31,29,2022-12-25,0,0,1,1,1,1,3,7
32,30,2022-12-25,0,0,1,1,1,1,3,3
33,31,2022-12-25,0,0,0,1,1,1,1,2
34,31-1,2022-12-25,0,0,1,1,1,1,1,2
35,32,2022-12-25,0,0,0,0,0,0,1,1
36,33,2022-12-25,0,0,0,0,0,0,1,5
37,34,2022-12-25,0,0,0,0,0,0,1,1
38,35,2022-12-25,0,0,1,1,1,1,2,2
39,36,2022-12-25,0,0,0,1,1,1,1,1
40,37,2022-12-25,0,0,0,0,0,0,0,0
41,38,2022-12-25,0,0,0,0,0,0,0,0
42,39,2022-12-25,0,0,0,0,0,0,0,0
43,40,2022-12-25,0,0,0,0,1,1,2,2
44,41,2022-12-25,0,0,0,0,1,1,1,1
45,42,2022-12-25,0,0,0,0,0,0,0,0
46,43,2022-12-25,0,0,0,0,0,0,1,1
47,44,2022-12-25,0,0,0,0,0,0,2,2
48,45,2022-12-25,0,1,1,1,2,2,2,2
49,46,2022-12-25,0,0,0,0,1,1,1,1
50,47,2022-12-25,0,1,1,1,1,1,3,3
51,48,2022-12-25,0,1,1,1,1,1,2,2
52,49,2022-12-25,0,1,1,1,1,1,1,1
53,50,2022-12-25,0,0,0,0,0,0,0,0
54,51,2022-12-25,1,1,1,2,2,2,2,2
55,52,2022-12-25,0,1,2,2,3,3,4,6
56,53,2022-12-25,0,1,1,1,1,1,1,1
57,54,2022-12-25,0,0,1,1,2,2,2,4
58,55,2022-12-25,0,0,0,0,0,0,0,0
59,56,2022-12-25,0,0,0,0,0,0,0,2
60,57,2022-12-25,0,0,1,1,2,2,2,6
61,58,2022-12-25,0,0,1,1,2,2,2,6
62,59,2022-12-25,0,0,1,1,2,3,3,5
63,60,2022-12-25,0,0,1,1,2,2,2,4
64,61,2022-12-25,0,1,2,2,4,4,5,7
65,61-1,2022-12-25,0,0,0,0,0,0,1,2
66,62,2022-12-25,0,0,1,1,2,2,2,4
67,63,2022-12-25,0,1,2,2,5,5,6,8
68,64,2022-12-25,0,0,0,0,0,0,1,1
69,65,2022-12-25,0,1,2,2,5,5,6,9
70,66,2022-12-25,0,0,0,0,1,1,2,2
71,66-1,2022-12-25,0,1,2,2,5,5,6,9
72,67,2022-12-25,0,1,1,1,2,2,2,2
73,68,2022-12-25,0,0,0,0,1,1,1,1
74,69,2022-12-25,0,2,2,2,4,4,4,4
75,70,2022-12-25,0,2,2,2,2,2,2,3
76,71,2022-12-25,0,2,2,2,3,4,5,6
77,72,2022-12-25,0,1,1,1,1,1,1,1
78,73,2022-12-25,0,2,2,2,2,2,2,3
79,74,2022-12-25,0,0,0,0,1,1,1,1
80,75,2022-12-25,0,0,0,0,0,0,0,0
81,76,2022-12-25,0,0,0,0,0,0,0,1
82,77,2022-12-25,0,0,0,0,0,0,0,0
83,78,2022-12-25,0,0,0,0,0,0,0,0
84,79,2022-12-25,0,1,1,1,1,2,2,3
85,80,2022-12-25,0,1,1,1,2,3,4,5
86,81,2022-12-25,0,1,1,1,3,3,3,6
87,82,2022-12-25,0,0,0,0,1,1,1,4
88,83,2022-12-25,0,0,0,0,0,0,0,0
89,84,2022-12-25,0,0,0,0,0,0,0,0
90,85,2022-12-25,0,1,1,1,3,3,3,6
91,86,2022-12-25,0,0,0,0,1,1,1,4
92,87,2022-12-25,0,0,0,0,1,1,1,3
93,88,2022-12-25,0,0,0,0,0,0,0,0
94,89,2022-12-25,0,0,0,0,0,0,0,0
95,90,2022-12-25,0,1,1,1,3,3,3,5
96,91,2022-12-25,0,0,0,0,1,1,1,3
97,92,2022-12-25,0,1,1,1,2,2,2,2
98,93,2022-12-25,0,0,0,0,0,1,1,1
99,93-1,2022-12-25,0,0,0,0,0,0,0,0
100,94,2022-12-25,0,1,1,1,2,2,3,6
101,95,2022-12-25,0,0,0,0,1,2,3,5
102,95-1,2022-12-25,0,1,1,1,2,3,4,7
103,96,2022-12-25,0,0,0,0,1,1,2,4
104,97,2022-12-25,0,1,1,1,2,2,3,3
105,98,2022-12-25,0,1,1,1,1,1,1,1
106,98-1,2022-12-25,0,0,0,0,1,1,1,1
107,98-2,2022-12-25,0,0,0,0,1,1,1,1
108,99,2022-12-25,0,1,1,1,2,2,3,3
109,100,2022-12-25,0,0,0,0,0,1,1,3
110,101,2022-12-25,0,1,2,2,2,3,3,3
111,102,2022-12-25,0,1,2,2,2,2,2,2
112,103,2022-12-25,0,0,0,0,0,0,0,0
113,104,2022-12-25,0,0,1,1,1,2,2,4
114,105,2022-12-25,0,1,2,2,2,2,2,2
115,106,2022-12-25,0,1,2,2,2,2,2,2
116,107,2022-12-25,0,0,0,0,0,0,0,2
117,108,2022-12-25,0,0,0,0,0,0,0,2
118,109,2022-12-25,0,0,1,1,1,1,1,3
119,110,2022-12-25,0,0,0,0,0,0,0,3
120,110-1,2022-12-25,0,0,0,0,0,1,2,4
121,111,2022-12-25,0,0,0,0,0,0,0,6
122,112,2022-12-25,0,0,0,0,0,1,1,1
123,113,2022-12-25,0,0,0,0,0,0,0,2
124,114,2022-12-25,0,0,0,0,0,0,0,0
125,115,2022-12-25,0,0,0,0,0,1,1,3
126,116,2022-12-25,0,0,0,0,0,2,2,2
127,117,2022-12-25,0,0,0,0,1,1,2,3
128,117-1,2022-12-25,0,0,0,0,1,1,2,3
129,118,2022-12-25,1,1,1,2,2,4,4,4
130,119,2022-12-25,0,0,0,0,1,2,3,4
131,120,2022-12-25,0,0,0,0,1,2,3,6
132,121,2022-12-25,0,1,2,2,3,3,4,11
133,122,2022-12-25,0,0,0,0,0,0,0,8
134,122-1,2022-12-25,0,0,0,1,1,1,1,8
135,123,2022-12-25,0,0,0,1,1,1,2,10
136,124,2022-12-25,0,0,7,7,7,7,8,9
137,124-1,2022-12-25,0,0,0,0,0,0,3,8
138,124-2,2022-12-25,0,0,0,0,0,0,1,4
139,125,2022-12-25,0,0,0,0,0,0,0,0
140,126,2022-12-25,0,0,0,0,0,0,0,0
141,127,2022-12-25,0,0,5,5,5,5,5,5
142,128,2022-12-25,0,0,7,7,7,7,7,7
143,129,2022-12-25,0,0,7,7,7,7,7,7
144,130,2022-12-25,1,1,3,3,3,3,3,5
145,131,2022-12-25,0,0,5,5,5,5,5,5
146,132,2022-12-25,1,1,8,8,8,8,8,10
147,133,2022-12-25,1,1,8,8,8,8,8,10
148,134,2022-12-25,0,0,0,0,0,0,0,0
149,134-1,2022-12-25,0,0,0,0,0,0,0,0
150,134-2,2022-12-25,0,1,1,1,1,1,1,1
151,135,2022-12-25,1,2,2,2,2,2,2,4
152,136,2022-12-25,1,2,2,2,2,2,2,4
153,137,2022-12-25,0,2,2,2,2,3,3,4
154,138,2022-12-25,1,3,3,3,3,4,4,7
155,139,2022-12-25,0,2,2,2,2,3,3,4
156,139-1,2022-12-25,0,1,1,1,1,2,2,3
157,139-2,2022-12-25,0,0,0,0,0,0,0,0
158,140,2022-12-25,1,1,1,2,2,2,2,2
159,141,2022-12-25,1,1,1,2,2,3,3,4
160,142,2022-12-25,0,1,2,2,3,3,4,6
161,143,2022-12-25,0,1,2,2,2,2,2,6
162,144,2022-12-25,0,1,2,3,3,3,3,4
163,145,2022-12-25,0,0,0,1,1,1,2,5
164,146,2022-12-25,0,0,0,2,2,2,2,4
165,147,2022-12-25,0,1,2,2,2,2,4,6
166,148,2022-12-25,1,1,1,3,3,3,3,3
167,149,2022-12-25,0,1,1,2,2,2,2,2
168,150,2022-12-25,0,0,0,0,0,0,0,4
169,151,2022-12-25,0,1,2,2,2,2,2,5
170,152,2022-12-25,0,0,0,0,0,0,1,3
171,153,2022-12-25,0,0,0,2,2,2,4,4
172,154,2022-12-25,0,0,0,1,1,1,3,5
173,155,2022-12-25,0,0,0,1,1,1,2,2
174,156,2022-12-25,0,0,0,1,1,1,4,4
175,156-1,2022-12-25,0,0,0,0,0,0,2,2
176,156-2,2022-12-25,0,0,0,0,0,0,3,4
177,157,2022-12-25,0,1,1,3,3,3,3,5
178,158,2022-12-25,0,1,1,3,3,4,4,6
179,159,2022-12-25,0,1,1,2,2,2,2,6
180,160,2022-12-25,0,0,0,0,0,2,2,9
181,161,2022-12-25,0,1,1,1,1,1,2,4
182,162,2022-12-25,0,0,0,0,0,0,2,4
183,163,2022-12-25,0,0,0,0,0,0,0,2
184,163-1,2022-12-25,0,0,0,1,1,1,2,2
185,164,2022-12-25,0,0,0,0,0,0,1,1
186,165,2022-12-25,0,0,0,0,0,0,1,1
187,166,2022-12-25,0,0,0,1,1,2,3,5
188,166-1,2022-12-25,0,0,0,0,0,0,1,1
189,166-2,2022-12-25,0,0,0,0,0,0,0,0
190,167,2022-12-25,0,1,1,2,2,3,3,4
191,168,2022-12-25,0,0,1,1,1,4,4,8
192,169,2022-12-25,0,1,1,1,1,3,3,9
193,170,2022-12-25,0,1,1,1,1,3,3,6
194,171,2022-12-25,0,1,1,1,1,1,3,6
195,172,2022-12-25,0,0,0,0,0,0,1,3
196,173,2022-12-25,0,0,0,0,0,0,1,1
197,174,2022-12-25,0,0,0,0,0,0,1,2
198,175,2022-12-25,0,0,1,1,1,2,3,3
199,176,2022-12-25,0,0,1,1,1,1,1,3
200,177,2022-12-25,0,0,0,0,0,2,2,9
201,178,2022-12-25,0,1,1,1,1,1,2,8
202,179,2022-12-25,0,0,0,0,0,0,1,7
203,180,2022-12-25,0,0,0,0,0,0,1,5
204,181,2022-12-25,1,1,2,2,2,2,4,4
205,182,2022-12-25,1,1,1,1,1,1,1,1
206,183,2022-12-25,0,0,0,0,0,0,0,0
207,184,2022-12-25,2,2,2,2,2,2,3,3
208,185,2022-12-25,1,1,1,1,1,5,5,5
209,185-1,2022-12-25,1,1,1,1,1,5,5,7
210,186,2022-12-25,0,0,0,0,0,4,4,4
211,186-1,2022-12-25,1,3,3,3,3,3,5,5
212,186-2,2022-12-25,0,0,0,0,0,0,0,0
213,187,2022-12-25,0,0,0,0,0,4,4,4
214,188,2022-12-25,0,0,0,0,0,0,1,1
215,189,2022-12-25,0,0,0,0,0,0,1,1
216,190,2022-12-25,0,0,0,0,0,4,4,4
217,191,2022-12-25,0,0,0,0,0,0,0,0
218,192,2022-12-25,0,0,0,0,0,0,1,1
219,192-1,2022-12-25,0,0,0,0,0,0,1,1
220,193,2022-12-25,1,1,1,1,1,1,1,1
221,194,2022-12-25,1,1,1,1,1,1,1,1
222,195,2022-12-25,3,5,5,5,7,7,7,7
223,196,2022-12-25,1,1,1,1,1,1,2,2
224,197,2022-12-25,1,1,1,1,1,1,2,2
225,198,2022-12-25,1,3,3,3,3,3,5,5
226,199,2022-12-25,1,1,1,1,1,1,3,3
227,200,2022-12-25,2,4,4,4,4,4,5,5
228,201,2022-12-25,0,2,2,2,2,6,9,9
229,202,2022-12-25,0,2,2,2,2,6,8,8
230,203,2022-12-25,0,0,0,0,0,4,5,5
231,204,2022-12-25,3,5,5,5,7,7,7,7
232,204-1,2022-12-25,1,3,3,3,5,5,6,6
233,205,2022-12-25,1,1,1,1,1,2,2,2
234,205-1,2022-12-25,1,3,3,3,3,3,4,4
235,206,2022-12-25,2,2,2,2,4,4,4,4
236,207,2022-12-25,3,3,3,3,3,4,4,4
237,208,2022-12-25,0,0,0,0,1,2,2,2
238,209,2022-12-25,0,0,0,0,1,2,2,2
239,209-1,2022-12-25,0,0,0,0,1,1,1,1
240,210,2022-12-25,0,0,0,0,1,1,1,1
241,210-1,2022-12-25,0,0,0,0,1,1,1,1
242,210-2,2022-12-25,0,0,0,0,0,0,0,0
243,210-3,2022-12-25,0,0,0,0,0,0,0,0
244,210-4,2022-12-25,0,0,0,0,0,0,0,0
245,210-5,2022-12-25,0,0,0,0,0,0,0,0
246,211,2022-12-25,0,0,0,0,0,0,2,2
247,212,2022-12-25,0,2,2,2,2,2,5,5
248,213,2022-12-25,2,2,2,2,2,3,3,3
249,214,2022-12-25,0,0,0,0,0,0,0,0
250,214-1,2022-12-25,0,0,0,0,0,1,2,2
251,215,2022-12-25,0,0,0,0,0,0,0,0
252,215-1,2022-12-25,0,0,0,0,0,1,2,2
253,216,2022-12-25,0,0,0,0,0,0,0,0
254,216-1,2022-12-25,0,0,0,0,0,0,0,0
255,217,2022-12-25,0,0,0,0,0,0,3,3
256,218,2022-12-25,0,2,2,2,2,2,6,6
257,219,2022-12-25,0,0,0,0,0,0,2,2
258,220,2022-12-25,0,0,0,0,0,0,0,0
259,221,2022-12-25,0,0,0,0,0,0,2,2
